Food,Serving,Serving in grams (or # servings),Calories per serving,Notes,,Calories per serving,,,,,,,,,,,
Krispy Kreme glazed donut,1 donut,1,190,,,0.00,,,,,,,,,,,
Laing,1 cup,75,240,,,0.00,,,,,,,,,,,
Lemon cookie,"1 2"" cookie",23,91,,,0.00,,,,,,,,,,,
Lemon salmon,125g (1 pack),125,289,,,0.00,,,,,,,,,,,
Liege waffle,99g,99,420,,,0.00,,,,,,,,,,,
Lowfat milk (Emborg),100 ml,100,47,,,0.00,,,,,,,,,,,
Mac and cheese calories,100g,100,164,,,0.00,,,,,,,,,,,
Machang,100g,100,190,,,0.00,,0,,,,,,,,,
Maki,1 roll,1,300,,,0.00,,,,,,,,,,,
Mango,100g ,100,60,,,0.00,,,,,,,,,,,
Mapo tofu,2 cups,471,482,,,0.00,,,,,,,,,,,
Mapo tofu (vegetarian),2 cups,412,377,,,0.00,,,,,,,,,,,
Margherita pizza,"1 14"" slice (107g)",107,285,,,0.00,,,,,,,,,,,
Mashed potatoes,100g,100,88,15.1 grams per tablespoon,,0.00,,,,,,,,,,,
Mayonnaise,1 tbsp,13.8,94,,,0.00,,,,,,,,,,,
Mayver's super spread,1 tbsp,20,128,,,0.00,,,,,,,,,,,
Meatloaf,100g,100,149,,,0.00,,,,,,,,,,,
Milk (powdered),1 tsp,1,17,,,0.00,,,,,,,,,,,
Miso,100g,100,176,,,0.00,,,,,,,,,,,
Mixed veg (sauteed),1 cup,140,45,,,0.00,,,,,,,,,,,
Mochi (store),1 pc,1,90,,,0.00,,,,,,,,,,,
Moong dal curry,1 cup (206g),206,236,No butter added; estimate a bit more,,0.00,,,,,,,,,,,
Oatmeal (cooked),1 cup (234g),234,158,,,0.00,,,,,,,,,,,
Olive oil extra virgin,1 tbsp,1,120,,,0.00,,,,,,,,,,,
Palak paneer,1 cup,168,325,,,0.00,,,,,,,,,,,
Pancakes,100g,100,227,,,0.00,,,,,,,,,,,
Pancit canton (cooked),1 cup,209,207,,,0.00,,,,,,,,,,,
Pancit canton calamnasi (lucky me),1,1,351,,,0.00,,,,,,,,,,,
Parmesan,1 tbsp,5,20,,,0.00,,,,,,,,,,,
Pasta salad,1 cup,204,414,,,0.00,,,,,,,,,,,
Peanut butter (generic),1 tablespoon (20g),20,95,,,0.00,,,,,,,,,,,
Peanut butter (lily's),1 tablespoon (20g),20,120,,,0.00,,,,,,,,,,,
Peas (fried),1 cup,182,237,,,0.00,,,,,,,,,,,
Peas and rice,100g,100,145,,,0.00,,,,,,,,,,,
Pechay,100g,100,10,,,0.00,,,,,,,,,,,
Pesto pasta,1 cu,169,367,,,0.00,,,,,,,,,,,
Pizza,1 slice,107,285,,,0.00,,,,,,,,,,,
Popcorn homemade without butter,1 cup,8.5,35,,,0.00,,,,,,,,,,,
Pork giniling,1 cup,201,246,,,0.00,,,,,,,,,,,
Pork udon,1 bowl,460,428,,,0.00,,,,,,,,,,,
Pork sauteed,3 oz,84,178,,,0.00,,,,,,,,,,,
Potato chips baked,28g,28,120,,,0.00,,,,,,,,,,,
Potato salad with egg,100g,100,157,,,0.00,,,,,,,,,,,
Protein smoothie,1,1,138,,,0.00,,,,,,,,,,,
Puto,1 oz,28,77,,,0.00,,,,,,,,,,,
Quiche (crustless),100g,100,231,,,0.00,,,,,,,,,,,
Raisins,1 oz/50 raisins (26g),26,78,,,0.00,,,,,,,,,,,
Refried beans,1 tbsp,1,30,,,0.00,,,,,,,,,,,
Revel bar,57g,57,239,,,0.00,,,,,,,,,,,
Rice,1 cup (158g),158,206,,,0.00,,,,,,,,,,,
Roast chicken,100g,100,239,,,0.00,,,,,,,,,,,
Roast chickpeas,100g,100,364,,,0.00,,,,,,,,,,,
Roti,100g,100,297,,,0.00,,,,,,,,,,,
Saba (boiled),2 pieces,2,220,,,0.00,,,,,,,,,,,
Sardine pasta,1 cup,200,343,,,0.00,,,,,,,,,,,
Sardines (spanish D Elena),2 oz,57,170,,,0.00,,,,,,,,,,,
Sardines (spanish pandemnl),4,55,250,,,0.00,,,,,,,,,,,
Sauerkraut,100g,100,19,,,0.00,,,,,,,,,,,
Sauteed broccoli,1 cup,156,70,,,0.00,,,,,,,,,,,
Sauteed chicken,100g,100,223,,,0.00,,,,,,,,,,,
Scone,115g,115,398,,,0.00,,,,,,,,,,,
Seafood pancake,1,314,464,,,0.00,,,,,,,,,,,
Sesame oil,1 tsp,1,40,,,0.00,,,,,,,,,,,
Shrimp,1 piece,1,7,,,0.00,,,,,,,,,,,
Shrimp roll (egg roll type),1 piece,130,164,,,0.00,,,,,,,,,,,
Shumai,1 pc,27,59,,,0.00,,,,,,,,,,,
Siopao / pork bao,93g,93,217,,,0.00,,,,,,,,,,,
Snickerdoodle,1 piece,1,90,,,0.00,,,,,,,,,,,
Soy chicken,214g,214,382,,,0.00,,,,,,,,,,,
spaghetti (plain noodles),1 cup,140,221,,,0.00,,,,,,,,,,,
Spaghetti bolognese,2 cups (330g),330,333.5,,,0.00,,,,,,,,,,,
Spaghetti pomodoro,1 cup,248,318,,,0.00,,,,,,,,,,,
Spaghetti sauce (Filipino style pack),125g (1 pack),125,70,,,0.00,,,,,,,,,,,
Squash soup,2 cups,490,220,,,0.00,,,,,,,,,,,
